KUNNR,CustomerName,TOTAL_F,Bucket_0_30,Bucket_31_60,Bucket_61_90,Bucket_90Plus
C100001,上海张江工业集团,398.0,99.2,204.8,66.4,27.6
C100002,宁波港务实业,921.8,767.5,29.4,61.4,63.5
C100003,无锡新能科技,739.5,563.1,112.5,34.3,29.6
C100004,苏州汽配股份,567.0,249.0,116.5,137.4,64.1
C100005,深圳华联电子,932.9,594.9,236.7,44.8,56.5
C100006,广州白云重工,678.0,462.7,162.4,13.1,39.8
C100007,佛山陶瓷集团,540.1,323.7,110.2,35.1,71.1
C100008,北京中科精密,585.5,431.4,38.1,76.0,40.0
C100009,天津大港石化,585.8,209.4,198.9,107.2,70.3
C100010,唐山钢铁集团,243.8,127.2,60.3,27.9,28.4
C100011,成都飞机工业,578.2,265.3,231.6,10.6,70.7
C100012,重庆长安实业,529.3,193.9,199.9,113.6,21.9
C100013,西安西电变压器,368.0,146.9,106.5,86.4,28.2
C100014,兰州石化机械,1076.0,625.7,276.3,100.6,73.4
C100015,沈阳重型机床,859.9,655.3,105.6,33.9,65.1
C100016,大连船舶重工,750.1,503.8,228.2,3.8,14.3
C100017,长春一汽配件,651.6,456.7,51.0,88.8,55.1
C100018,青岛海尔智家,869.4,498.2,249.5,117.6,4.1
C100019,杭州西子电梯,535.9,439.8,55.4,28.3,12.4
C100020,厦门金龙客车,713.5,479.0,158.7,37.0,38.8
