AUFNR,WERKS,PlantName,MATNR,MaterialDesc,PSTRT,PEND,PLAN_QTY,ACTUAL_QTY,Status
AU00000001,5001,沈阳工厂,M001001,高压断路器 ZN-12kV,2025-12-16,2025-12-28,288.0,266.0,CNF
AU00000002,2001,广州工厂,M002001,工业电机 Y2-280M,2025-12-20,2025-12-28,121.0,121.0,CNF
AU00000003,2001,广州工厂,M001003,干式变压器 SCB-1000kVA,2025-12-13,2025-12-24,71.0,72.0,CNF
AU00000004,1002,南京工厂,M001002,中压开关柜 KYN28-12,2025-12-03,2025-12-15,310.0,0,REL
AU00000005,3001,北京工厂,M001001,高压断路器 ZN-12kV,2025-12-02,2025-12-05,276.0,0,REL
AU00000006,1001,上海工厂,M001002,中压开关柜 KYN28-12,2025-12-06,2025-12-18,222.0,192.0,CNF
AU00000007,3001,北京工厂,M001003,干式变压器 SCB-1000kVA,2025-12-15,2025-12-25,383.0,365.0,TECO
AU00000008,1001,上海工厂,M002004,频率变换器 G120-22kW,2025-12-20,2025-12-23,187.0,180.0,CNF
AU00000009,3001,北京工厂,M002001,工业电机 Y2-280M,2025-12-19,2025-12-25,443.0,382.0,CNF
AU00000010,5001,沈阳工厂,M001002,中压开关柜 KYN28-12,2025-12-19,2025-12-28,87.0,82.0,CNF
AU00000011,2001,广州工厂,M001003,干式变压器 SCB-1000kVA,2025-12-16,2025-12-28,299.0,302.0,CNF
AU00000012,5001,沈阳工厂,M001003,干式变压器 SCB-1000kVA,2025-12-15,2025-12-18,315.0,283.0,TECO
AU00000013,3001,北京工厂,M002002,伺服驱动器 SD-7.5kW,2025-12-01,2025-12-10,360.0,312.0,CNF
AU00000014,1002,南京工厂,M001003,干式变压器 SCB-1000kVA,2025-12-04,2025-12-07,141.0,0,REL
AU00000015,4001,成都工厂,M001003,干式变压器 SCB-1000kVA,2025-12-20,2025-12-25,459.0,0,REL
AU00000016,2001,广州工厂,M001003,干式变压器 SCB-1000kVA,2026-01-05,2026-01-09,58.0,55.0,CNF
AU00000017,4001,成都工厂,M002004,频率变换器 G120-22kW,2026-01-06,2026-01-16,55.0,56.0,CNF
AU00000018,3001,北京工厂,M001004,油浸变压器 S11-1600kVA,2026-01-19,2026-01-27,111.0,101.0,TECO
AU00000019,1001,上海工厂,M001003,干式变压器 SCB-1000kVA,2026-01-05,2026-01-13,389.0,0,REL
AU00000020,4001,成都工厂,M001001,高压断路器 ZN-12kV,2026-01-13,2026-01-18,369.0,347.0,CNF
AU00000021,1001,上海工厂,M001001,高压断路器 ZN-12kV,2026-01-01,2026-01-12,198.0,200.0,CNF
AU00000022,2001,广州工厂,M001002,中压开关柜 KYN28-12,2026-01-12,2026-01-15,96.0,100.0,TECO
AU00000023,1002,南京工厂,M002004,频率变换器 G120-22kW,2026-01-11,2026-01-19,342.0,0,REL
AU00000024,2001,广州工厂,M001001,高压断路器 ZN-12kV,2026-01-18,2026-01-25,379.0,350.0,CNF
AU00000025,1001,上海工厂,M001002,中压开关柜 KYN28-12,2026-01-18,2026-01-25,106.0,110.0,CNF
AU00000026,5001,沈阳工厂,M002003,PLC 模块 S7-1500 CPU,2026-01-10,2026-01-16,201.0,196.0,TECO
AU00000027,1002,南京工厂,M002001,工业电机 Y2-280M,2026-01-18,2026-01-24,393.0,371.0,CNF
AU00000028,4001,成都工厂,M002001,工业电机 Y2-280M,2026-01-09,2026-01-22,457.0,401.0,CNF
